forecaster_type,forecaster,date,PS,VI,CI,DI
quant_modeler,economist,2020-06-18,0.04,0.2499038831218762,0.03019607843137255,0.24009996155324878
quant_modeler,jhk,2020-06-18,0.044642857142857144,0.25,0.03571428571428571,0.24107142857142858
quant_modeler,538,2020-06-19,0.04888392857142857,0.25,0.019122023809523808,0.22023809523809526
expert,cook,2020-06-19,0.059375,0.25,0.02217261904761904,0.21279761904761904
quant_modeler,economist,2020-06-19,0.04093137254901961,0.2499038831218762,0.021323529411764703,0.23029603998462128
quant_modeler,jhk,2020-06-19,0.04428571428571428,0.25,0.03535714285714286,0.24107142857142858
quant_modeler,538,2020-06-20,0.04812500000000001,0.25,0.021339285714285717,0.22321428571428573
quant_modeler,economist,2020-06-20,0.04102941176470589,0.2499038831218762,0.04102941176470589,0.24990388312187622
quant_modeler,jhk,2020-06-20,0.04473214285714285,0.25,0.03580357142857143,0.24107142857142858
quant_modeler,538,2020-06-21,0.04812500000000001,0.25,0.021339285714285717,0.22321428571428573
quant_modeler,economist,2020-06-21,0.04102941176470589,0.2499038831218762,0.04102941176470589,0.24990388312187622
quant_modeler,jhk,2020-06-21,0.04428571428571428,0.25,0.03535714285714286,0.24107142857142858
quant_modeler,538,2020-06-22,0.047008928571428577,0.25,0.029151785714285717,0.23214285714285715
quant_modeler,economist,2020-06-22,0.042156862745098035,0.2499038831218762,0.02254901960784314,0.23029603998462128
quant_modeler,jhk,2020-06-22,0.045178571428571436,0.25,0.03625,0.24107142857142858
quant_modeler,538,2020-06-23,0.047008928571428577,0.25,0.029151785714285717,0.23214285714285715
quant_modeler,economist,2020-06-23,0.0425,0.2499038831218762,0.022892156862745098,0.23029603998462128
quant_modeler,jhk,2020-06-23,0.04486607142857142,0.25,0.032961309523809525,0.2380952380952381
quant_modeler,538,2020-06-24,0.047455357142857146,0.25,0.029598214285714287,0.23214285714285715
quant_modeler,economist,2020-06-24,0.040539215686274506,0.2499038831218762,0.011127450980392157,0.22049211841599384
quant_modeler,jhk,2020-06-24,0.044955357142857144,0.25,0.03305059523809524,0.2380952380952381
quant_modeler,538,2020-06-25,0.0471875,0.25,0.029330357142857144,0.23214285714285715
quant_modeler,economist,2020-06-25,0.041715686274509806,0.2499038831218762,0.031911764705882355,0.24009996155324873
quant_modeler,jhk,2020-06-25,0.0459375,0.25,0.03700892857142857,0.24107142857142858
expert,sabato,2020-06-25,0.06058035714285714,0.25,0.02486607142857142,0.21428571428571427
quant_modeler,538,2020-06-26,0.049553571428571426,0.25,0.028720238095238097,0.22916666666666669
quant_modeler,economist,2020-06-26,0.041666666666666664,0.2499038831218762,0.031862745098039214,0.24009996155324873
quant_modeler,jhk,2020-06-26,0.046741071428571423,0.25,0.03781249999999999,0.24107142857142858
